subid,counter,trialtype,percentage,sizeasked,searchtype,chosetarget,choselure,chosendistractor,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,lurepos,chosenname,chosensize,attncheckscore
1,4,5,56,false,samesize,false,false,1,24,red,small,sprock,8,21,big,2/20/2020,20:37,13772,1932,4,2,0,stim-images/object8redsmall.jpg,small,"0
"
1,5,3,73,false,differentsizes,false,false,1,18,green,big,wug,1,10,small,2/20/2020,20:37,10219,3766,5,2,0,stim-images/object1greensmall.jpg,small,"0
"
1,6,0,73,false,attncheck,false,false,1,18,green,big,wug,1,10,small,2/20/2020,20:37,10219,3766,5,2,0,stim-images/object1greensmall.jpg,small,"7
"
6,1,6,50,true,samesize,false,false,1,20,purple,small,gade,1,9,big,2/20/2020,19:36,21811,9168,6,2,0,stim-images/object1purplesmall.jpg,small,"0
"
6,2,3,50,false,differentsizes,true,false,0,7,green,big,sprock,4,13,small,2/20/2020,19:37,18326,6570,5,1,0,stim-images/object7greenbig.jpg,big,"0
"
6,3,4,50,true,differentsizes,true,false,0,18,green,small,wug,14,3,big,2/20/2020,19:37,13515,4859,4,2,0,stim-images/object18greensmall.jpg,small,"0
"
6,4,5,50,false,samesize,true,false,0,2,purple,big,blicket,24,10,small,2/20/2020,19:37,18738,5179,4,2,0,stim-images/object2purplebig.jpg,big,"0
"
6,5,2,50,true,contrast,true,false,0,22,blue,small,toma,23,19,big,2/20/2020,19:38,15262,7236,5,4,6,stim-images/object22bluesmall.jpg,small,"0
"
6,6,0,50,true,attncheck,true,false,0,22,blue,small,toma,23,19,big,2/20/2020,19:38,15262,7236,5,4,6,stim-images/object22bluesmall.jpg,small,"7
"
9,1,5,87,false,samesize,true,false,2,17,red,small,gade,23,5,big,2/20/2020,20:38,20015,19861,6,3,0,stim-images/object17redsmall.jpg,small,"0
"
9,2,4,63,true,differentsizes,false,false,1,11,red,small,wug,4,7,big,2/20/2020,20:38,12582,6619,6,2,0,stim-images/object4redbig.jpg,big,"0
"
9,3,2,70,true,contrast,false,true,1,10,green,big,toma,13,21,small,2/20/2020,20:38,24565,5590,4,6,5,stim-images/object13greenbig.jpg,big,"0
"
9,4,6,64,true,samesize,false,false,2,19,red,small,blicket,6,22,big,2/20/2020,20:39,11603,5446,4,1,0,stim-images/object22redsmall.jpg,small,"0
"
9,5,6,64,true,samesize,false,false,2,19,red,small,blicket,6,22,big,2/20/2020,20:39,11603,5750,4,1,0,stim-images/object22redsmall.jpg,small,"0
"
9,6,0,64,true,attncheck,false,false,2,19,red,small,blicket,6,22,big,2/20/2020,20:39,11603,5750,4,1,0,stim-images/object22redsmall.jpg,small,"6
"
42,1,2,15,true,contrast,false,true,1,20,red,big,sprock,8,2,small,2/20/2020,20:56,22406,17872,6,5,4,stim-images/object8redbig.jpg,big,"0
"
42,2,5,50,false,samesize,false,false,1,23,red,small,wug,12,13,big,2/20/2020,20:56,18541,9714,6,2,0,stim-images/object12redsmall.jpg,small,"0
"
42,3,4,50,true,differentsizes,true,false,0,11,purple,small,gade,14,19,big,2/20/2020,20:56,15307,7681,5,3,0,stim-images/object11purplesmall.jpg,small,"0
"
42,4,3,50,false,differentsizes,true,false,0,15,red,big,toma,17,1,small,2/20/2020,20:57,19222,6513,4,2,0,stim-images/object15redbig.jpg,big,"0
"
42,5,6,50,true,samesize,false,false,2,7,red,big,blicket,4,24,small,2/20/2020,20:57,18958,7197,6,3,0,stim-images/object24redbig.jpg,big,"0
"
42,6,0,50,true,attncheck,false,false,2,7,red,big,blicket,4,24,small,2/20/2020,20:57,18958,7197,6,3,0,stim-images/object24redbig.jpg,big,"8
"
78,1,2,64,true,contrast,false,true,1,11,purple,small,sprock,7,24,big,2/20/2020,20:56,24219,14675,4,6,5,stim-images/object7purplesmall.jpg,small,"0
"
78,2,6,83,true,samesize,false,false,2,14,blue,big,blicket,3,10,small,2/20/2020,20:56,16933,7601,6,3,0,stim-images/object10bluebig.jpg,big,"0
"
78,3,3,92,false,differentsizes,false,false,1,22,purple,big,wug,12,4,small,2/20/2020,20:57,16968,12310,5,2,0,stim-images/object12purplesmall.jpg,small,"0
"
78,4,5,35,false,samesize,false,false,2,1,red,small,toma,15,2,big,2/20/2020,20:57,12889,6638,5,2,0,stim-images/object2redsmall.jpg,small,"0
"
78,5,4,45,true,differentsizes,true,false,0,13,green,big,gade,23,19,small,2/20/2020,20:58,10407,8633,4,3,0,stim-images/object13greenbig.jpg,big,"0
"
78,6,0,45,true,attncheck,true,false,0,13,green,big,gade,23,19,small,2/20/2020,20:58,10407,8633,4,3,0,stim-images/object13greenbig.jpg,big,"8
"
143,1,5,50,false,samesize,false,false,2,7,purple,big,blicket,13,21,small,2/20/2020,20:40,19767,10579,4,1,0,stim-images/object21purplebig.jpg,big,"0
"
